District,usaono,defno,branch,progcat,priority,appealtype,collindc,casestat,ausa,littype,defstatus,defstatdt,matterdt,compdt,arrestdt,casedt,courtno,courtappeal,crttype,judge,casetype,caseweight,litresp,ldcharge,offensedt,cntrlsub,mbrseized,qtyseized,defdispdt,defdisp,defdpreas,invagency,invagencyno,dojdiv,dojno,factno,filler9,terrindic,evnt,evntdt,evntact,relusaonbr,realdefnbr,chgtype,totalcounts,errindc,filename,estdollar,errnojc,bondtype,bondamt,errindj,fine,errindj1,suspfine,errindj2,sentdt,susp,incar,incarsusp,sentsec,probation,sysdisdt,syseousadt,acrecvdt,acfiledt,accttermdt,progagcy,progagcyno,lateclosing,dcmns,lionsno,distseq,distname,disthicode,agcy,cca,mrrf,mrmf,mprf,mpmf,mtrf,mtmf,cfrf,cfcf,cprf,cpcf,ctrf,ctcf,irf,irc,ibrf,ibmf,crtrf,ctrcf,citrf,citcf,scrher,par dis,par div,rectype,disname2,nodis,alphadis,ID
AK,93R0335,1,1,33,,,,C,CR,,,,930924,,,970417,******* **,,DC,JWS,,,US,,900415,,,,970910,GT,PLED,IRS,*********,TAXD,TX9522492,,,,SENT,970910,CP,,,IN,5,,****** ***** *************,,,,,,200000,,,,970910,,,,,10,970912,970930,930930,970430,970930,,,,97-528586-0,,,ALASKA,60,P,7,,,,,,,1,1,,,1,1,1,1,,,,,,,10,6,0,1,,,,44
AK,93R0374,1,1,40,,,,O,TMB,,FU,940623,931012,,,931012,*********,,DC,HRH,,,US,,930101,C,,,,,,JUFB,************,,,,,,WARR,940623,FI,,,IN,1,,**** *** ***** ****** ******,,,,,,,,,,,,,,,,940624,940630,931031,931031,,,,,93-011558-1,,,ALASKA,60,H,1,,,,,,,,,1,1,,,,,,,,,,,0A,6,0,1,,,,45
AK,93R0378,1,1,36,,,,C,SAC,,CU,960129,931019,931019,960129,931026,*********,,DC,,,,US,,930423,,,,960328,TR,RTWD,JUFB,***********,,,,,,WARR,940121,FI,,,IN,4,,**** *** ***** ***** ****,5200000,,,,,,,,,,,,,,,961118,961130,931031,931031,961130,ZCUA,*** *********,,93-011563-2,,,ALASKA,60,O,4,,,,,,,,,,,1,1,,,,,,,,,24,6,0,1,,,,46
AK,93R0398,1,1,40,,,,O,TMB,,FU,940324,931110,,,931110,*********,,DC,JWS,,,US,,910501,C,,,,,,JUFB,************,,,,,,WARR,940324,FI,,,IN,21,,**** *** ************** ****,,,,,,,,,,,,,,,,940328,940331,931130,931130,,,,,93-014333-6,,,ALASKA,60,H,1,,,,,,,,,1,1,,,,,,,,,,,0A,6,0,1,,,,47
AK,93R0398,4,1,40,,,,O,TMB,,FU,940324,931110,,,931110,*********,,DC,JWS,,,US,,910501,C,,,,,,JUFB,************,,,,,,WARR,940324,FI,,,IN,21,,**** *** ************** ****,,,,,,,,,,,,,,,,940328,940331,931130,931130,,,,,93-014333-6,,,ALASKA,60,H,1,,,,,,,,,1,,,,,,,,,,,,0A,6,0,1,,,,49
AK,93R0398,6,1,40,,,,O,TMB,,FU,940324,931110,,,931110,*********,,DC,JWS,,,US,,910501,C,,,,,,JUFB,************,,,,,,WARR,940324,FI,,,IN,21,,**** *** ************** ****,,,,,,,,,,,,,,,,940328,940331,931130,931130,,,,,93-014333-6,,,ALASKA,60,H,1,,,,,,,,,1,,,,,,,,,,,,0A,6,0,1,,,,50
AK,94R0010,3,1,40,,,,C,MAR,,,,940111,,,,,,NC,,,,US,,,C,,,970113,DE,STAL,JUDE,**********,,,,,,CLOS,970113,CP,,,,,,**** ***** **** *************,,,,,,,,,,,,,,,,970114,970131,940131,,970131,,,,,,,ALASKA,60,H,1,,,,,1,1,,,,,,,,,,,,,,,51,6,0,1,,,,51
AK,94R0010,4,1,40,,,,C,MAR,,,,940111,,,,,,NC,,,,US,,,C,,,970113,DE,STAL,JUDE,**********,,,,,,CLOS,970113,CP,,,,,,**** ***** **** *************,,,,,,,,,,,,,,,,970114,970131,940131,,970131,,,,,,,ALASKA,60,H,1,,,,,1,,,,,,,,,,,,,,,,51,6,0,1,,,,52
AK,94R0015,1,1,***,,,,O,KL,,PD,940412,940111,,,,,,NC,,,,US,,930701,,,,,,,JUFB,***********,,,,,,PTDR,940412,CM,,,,,,**** *** ***** ** *******,1010000,,,,,,,,,,,,,,,950109,950131,940131,,,ZFDI,*** *********,,,,,ALASKA,60,O,4,,,1,1,,,,,,,,,,,,,,,,,36,6,0,1,,,,53
AK,94R0021,1,1,06E,,,,C,TMB,,,,940125,,,,,,NC,,,,US,,930215,,,,970114,DE,JUVP,ZEPA,*********,,,,,,CLOS,970114,CP,,,,,,*** ****** ****** *********,,,,,,,,,,,,,,,,970114,970131,940131,,970131,,,,,,,ALASKA,60,B,7,,,,,1,1,,,,,,,,,,,,,,,51,6,0,1,,,,54
